Feature,Compartment,Feature Group,Function,Channel,Function_Comment#1,Function_Comment#2,TP,FP,TN,FN,PPV,BA,AUC_ROC,AUC_PR,F1_Score,MCC,Sensitivity,Specificity
Cytoplasm_Intensity_IntegratedIntensityEdge_DNA,Cytoplasm,Intensity,IntegratedIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cytoplasm_Intensity_LowerQuartileIntensity_DNA,Cytoplasm,Intensity,LowerQuartileIntensity,DNA,,,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Intensity_MADIntensity_DNA,Cytoplasm,Intensity,MADIntensity,DNA,,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cytoplasm_Intensity_MassDisplacement_DNA,Cytoplasm,Intensity,MassDisplacement,DNA,,,6,5,396,79,0.55,0.53,0.53,0.2,0.12,0.148442985,0.07,0.99
Cytoplasm_Intensity_MaxIntensity_DNA,Cytoplasm,Intensity,MaxIntensity,DNA,,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Intensity_MaxIntensityEdge_DNA,Cytoplasm,Intensity,MaxIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Intensity_MeanIntensity_DNA,Cytoplasm,Intensity,MeanIntensity,DNA,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cytoplasm_Intensity_MeanIntensityEdge_DNA,Cytoplasm,Intensity,MeanIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Intensity_MedianIntensity_DNA,Cytoplasm,Intensity,MedianIntensity,DNA,,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cytoplasm_Intensity_MinIntensity_DNA,Cytoplasm,Intensity,MinIntensity,DNA,,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Intensity_MinIntensityEdge_DNA,Cytoplasm,Intensity,MinIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Intensity_StdIntensity_DNA,Cytoplasm,Intensity,StdIntensity,DNA,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Intensity_StdIntensityEdge_DNA,Cytoplasm,Intensity,StdIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_Intensity_UpperQuartileIntensity_DNA,Cytoplasm,Intensity,UpperQuartileIntensity,DNA,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cytoplasm_Location_CenterMassIntensity_X_DNA,Cytoplasm,Location,CenterMassIntensity,DNA,X,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Location_CenterMassIntensity_Y_DNA,Cytoplasm,Location,CenterMassIntensity,DNA,Y,,4,3,398,81,0.57,0.52,0.52,0.19,0.09,0.126186683,0.05,0.99
Cytoplasm_Location_MaxIntensity_X_DNA,Cytoplasm,Location,MaxIntensity,DNA,X,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_Location_MaxIntensity_Y_DNA,Cytoplasm,Location,MaxIntensity,DNA,Y,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_RadialDistribution_FracAtD_DNA_1of4,Cytoplasm,RadialDistribution,FracAtD,DNA,1of4,,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cytoplasm_RadialDistribution_FracAtD_DNA_2of4,Cytoplasm,RadialDistribution,FracAtD,DNA,2of4,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cytoplasm_RadialDistribution_FracAtD_DNA_3of4,Cytoplasm,RadialDistribution,FracAtD,DNA,3of4,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_RadialDistribution_FracAtD_DNA_4of4,Cytoplasm,RadialDistribution,FracAtD,DNA,4of4,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_RadialDistribution_MeanFrac_DNA_1of4,Cytoplasm,RadialDistribution,MeanFrac,DNA,1of4,,0,0,401,85,0,0.5,0.55,0.21,0,0,0,1
Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4,Cytoplasm,RadialDistribution,MeanFrac,DNA,2of4,,0,0,401,85,0,0.5,0.54,0.21,0,0,0,1
Cytoplasm_RadialDistribution_MeanFrac_DNA_3of4,Cytoplasm,RadialDistribution,MeanFrac,DNA,3of4,,10,9,392,75,0.53,0.55,0.55,0.22,0.19,0.186594059,0.12,0.98
Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4,Cytoplasm,RadialDistribution,MeanFrac,DNA,4of4,,4,1,400,81,0.8,0.52,0.52,0.2,0.09,0.167771653,0.05,1
Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Cytoplasm,RadialDistribution,RadialCV,DNA,1of4,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_DNA_2of4,Cytoplasm,RadialDistribution,RadialCV,DNA,2of4,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,Cytoplasm,RadialDistribution,RadialCV,DNA,3of4,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,Cytoplasm,RadialDistribution,RadialCV,DNA,4of4,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Texture_AngularSecondMoment_DNA_10_0,Cytoplasm,Texture,AngularSecondMoment,DNA,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_AngularSecondMoment_DNA_3_0,Cytoplasm,Texture,AngularSecondMoment,DNA,3,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Texture_AngularSecondMoment_DNA_5_0,Cytoplasm,Texture,AngularSecondMoment,DNA,5,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Texture_Contrast_DNA_10_0,Cytoplasm,Texture,Contrast,DNA,10,0,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cytoplasm_Texture_Contrast_DNA_3_0,Cytoplasm,Texture,Contrast,DNA,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Contrast_DNA_5_0,Cytoplasm,Texture,Contrast,DNA,5,0,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cytoplasm_Texture_Correlation_DNA_10_0,Cytoplasm,Texture,Correlation,DNA,10,0,0,0,401,85,0,0.5,0.51,0.18,0,0,0,1
Cytoplasm_Texture_Correlation_DNA_3_0,Cytoplasm,Texture,Correlation,DNA,3,0,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cytoplasm_Texture_Correlation_DNA_5_0,Cytoplasm,Texture,Correlation,DNA,5,0,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cytoplasm_Texture_DifferenceEntropy_DNA_10_0,Cytoplasm,Texture,DifferenceEntropy,DNA,10,0,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cytoplasm_Texture_DifferenceEntropy_DNA_3_0,Cytoplasm,Texture,DifferenceEntropy,DNA,3,0,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cytoplasm_Texture_DifferenceEntropy_DNA_5_0,Cytoplasm,Texture,DifferenceEntropy,DNA,5,0,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cytoplasm_Texture_DifferenceVariance_DNA_10_0,Cytoplasm,Texture,DifferenceVariance,DNA,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_DifferenceVariance_DNA_3_0,Cytoplasm,Texture,DifferenceVariance,DNA,3,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Texture_DifferenceVariance_DNA_5_0,Cytoplasm,Texture,DifferenceVariance,DNA,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Entropy_DNA_10_0,Cytoplasm,Texture,Entropy,DNA,10,0,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cytoplasm_Texture_Entropy_DNA_3_0,Cytoplasm,Texture,Entropy,DNA,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Entropy_DNA_5_0,Cytoplasm,Texture,Entropy,DNA,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Gabor_DNA_10,Cytoplasm,Texture,Gabor,DNA,10,,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cytoplasm_Texture_Gabor_DNA_3,Cytoplasm,Texture,Gabor,DNA,3,,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Gabor_DNA_5,Cytoplasm,Texture,Gabor,DNA,5,,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cytoplasm_Texture_InfoMeas1_DNA_10_0,Cytoplasm,Texture,InfoMeas1,DNA,10,0,0,0,401,85,0,0.5,0.52,0.18,0,0,0,1
Cytoplasm_Texture_InfoMeas1_DNA_3_0,Cytoplasm,Texture,InfoMeas1,DNA,3,0,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Cytoplasm_Texture_InfoMeas1_DNA_5_0,Cytoplasm,Texture,InfoMeas1,DNA,5,0,0,0,401,85,0,0.5,0.56,0.19,0,0,0,1
Cytoplasm_Texture_InfoMeas2_DNA_10_0,Cytoplasm,Texture,InfoMeas2,DNA,10,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Texture_InfoMeas2_DNA_3_0,Cytoplasm,Texture,InfoMeas2,DNA,3,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Texture_InfoMeas2_DNA_5_0,Cytoplasm,Texture,InfoMeas2,DNA,5,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Texture_InverseDifferenceMoment_DNA_10_0,Cytoplasm,Texture,InverseDifferenceMoment,DNA,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_InverseDifferenceMoment_DNA_3_0,Cytoplasm,Texture,InverseDifferenceMoment,DNA,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_InverseDifferenceMoment_DNA_5_0,Cytoplasm,Texture,InverseDifferenceMoment,DNA,5,0,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cytoplasm_Texture_SumAverage_DNA_10_0,Cytoplasm,Texture,SumAverage,DNA,10,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_Texture_SumAverage_DNA_3_0,Cytoplasm,Texture,SumAverage,DNA,3,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cytoplasm_Texture_SumAverage_DNA_5_0,Cytoplasm,Texture,SumAverage,DNA,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_SumEntropy_DNA_10_0,Cytoplasm,Texture,SumEntropy,DNA,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_SumEntropy_DNA_3_0,Cytoplasm,Texture,SumEntropy,DNA,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_SumEntropy_DNA_5_0,Cytoplasm,Texture,SumEntropy,DNA,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_SumVariance_DNA_10_0,Cytoplasm,Texture,SumVariance,DNA,10,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_Texture_SumVariance_DNA_3_0,Cytoplasm,Texture,SumVariance,DNA,3,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_Texture_SumVariance_DNA_5_0,Cytoplasm,Texture,SumVariance,DNA,5,0,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Cytoplasm_Texture_Variance_DNA_10_0,Cytoplasm,Texture,Variance,DNA,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Variance_DNA_3_0,Cytoplasm,Texture,Variance,DNA,3,0,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cytoplasm_Texture_Variance_DNA_5_0,Cytoplasm,Texture,Variance,DNA,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Nuclei_Correlation_Correlation_DNA_AGP,Nuclei,Correlation,Correlation,DNA,AGP,,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Nuclei_Correlation_Correlation_DNA_ER,Nuclei,Correlation,Correlation,DNA,ER,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Correlation_Correlation_DNA_Mito,Nuclei,Correlation,Correlation,DNA,Mito,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Nuclei_Correlation_Correlation_DNA_RNA,Nuclei,Correlation,Correlation,DNA,RNA,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Nuclei_Correlation_Costes_DNA_AGP,Nuclei,Correlation,Costes,DNA,AGP,,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_Correlation_Costes_DNA_ER,Nuclei,Correlation,Costes,DNA,ER,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Nuclei_Correlation_Costes_DNA_Mito,Nuclei,Correlation,Costes,DNA,Mito,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Correlation_Costes_DNA_RNA,Nuclei,Correlation,Costes,DNA,RNA,,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Nuclei_Correlation_K_DNA_AGP,Nuclei,Correlation,K,DNA,AGP,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Nuclei_Correlation_K_DNA_ER,Nuclei,Correlation,K,DNA,ER,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Nuclei_Correlation_K_DNA_Mito,Nuclei,Correlation,K,DNA,Mito,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Nuclei_Correlation_K_DNA_RNA,Nuclei,Correlation,K,DNA,RNA,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Nuclei_Correlation_Overlap_DNA_AGP,Nuclei,Correlation,Overlap,DNA,AGP,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Nuclei_Correlation_Overlap_DNA_ER,Nuclei,Correlation,Overlap,DNA,ER,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Nuclei_Correlation_Overlap_DNA_Mito,Nuclei,Correlation,Overlap,DNA,Mito,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Nuclei_Correlation_Overlap_DNA_RNA,Nuclei,Correlation,Overlap,DNA,RNA,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Nuclei_Granularity_1_DNA,Nuclei,Granularity,1,DNA,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Nuclei_Granularity_10_DNA,Nuclei,Granularity,10,DNA,,,0,0,401,85,0,0.5,0.52,0.18,0,0,0,1
Nuclei_Granularity_11_DNA,Nuclei,Granularity,11,DNA,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Granularity_12_DNA,Nuclei,Granularity,12,DNA,,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Nuclei_Granularity_13_DNA,Nuclei,Granularity,13,DNA,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Granularity_2_DNA,Nuclei,Granularity,2,DNA,,,0,0,401,85,0,0.5,0.63,0.25,0,0,0,1
Nuclei_Granularity_3_DNA,Nuclei,Granularity,3,DNA,,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Granularity_4_DNA,Nuclei,Granularity,4,DNA,,,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_Granularity_5_DNA,Nuclei,Granularity,5,DNA,,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Nuclei_Granularity_6_DNA,Nuclei,Granularity,6,DNA,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Nuclei_Granularity_7_DNA,Nuclei,Granularity,7,DNA,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Granularity_8_DNA,Nuclei,Granularity,8,DNA,,,0,0,401,85,0,0.5,0.51,0.19,0,0,0,1
Nuclei_Granularity_9_DNA,Nuclei,Granularity,9,DNA,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Intensity_IntegratedIntensity_DNA,Nuclei,Intensity,IntegratedIntensity,DNA,,,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Nuclei_Intensity_IntegratedIntensityEdge_DNA,Nuclei,Intensity,IntegratedIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.51,0.19,0,0,0,1
Nuclei_Intensity_LowerQuartileIntensity_DNA,Nuclei,Intensity,LowerQuartileIntensity,DNA,,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Nuclei_Intensity_MADIntensity_DNA,Nuclei,Intensity,MADIntensity,DNA,,,4,3,398,81,0.57,0.52,0.52,0.19,0.09,0.126186683,0.05,0.99
Nuclei_Intensity_MassDisplacement_DNA,Nuclei,Intensity,MassDisplacement,DNA,,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Nuclei_Intensity_MaxIntensity_DNA,Nuclei,Intensity,MaxIntensity,DNA,,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Nuclei_Intensity_MaxIntensityEdge_DNA,Nuclei,Intensity,MaxIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Nuclei_Intensity_MeanIntensity_DNA,Nuclei,Intensity,MeanIntensity,DNA,,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Intensity_MeanIntensityEdge_DNA,Nuclei,Intensity,MeanIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Nuclei_Intensity_MedianIntensity_DNA,Nuclei,Intensity,MedianIntensity,DNA,,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Intensity_MinIntensity_DNA,Nuclei,Intensity,MinIntensity,DNA,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Nuclei_Intensity_MinIntensityEdge_DNA,Nuclei,Intensity,MinIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Nuclei_Intensity_StdIntensity_DNA,Nuclei,Intensity,StdIntensity,DNA,,,0,0,401,85,0,0.5,0.63,0.23,0,0,0,1
Nuclei_Intensity_StdIntensityEdge_DNA,Nuclei,Intensity,StdIntensityEdge,DNA,,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Intensity_UpperQuartileIntensity_DNA,Nuclei,Intensity,UpperQuartileIntensity,DNA,,,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Nuclei_Location_CenterMassIntensity_X_DNA,Nuclei,Location,CenterMassIntensity,DNA,X,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Location_CenterMassIntensity_Y_DNA,Nuclei,Location,CenterMassIntensity,DNA,Y,,6,4,397,79,0.6,0.53,0.53,0.2,0.13,0.162197887,0.07,0.99
Nuclei_Location_MaxIntensity_X_DNA,Nuclei,Location,MaxIntensity,DNA,X,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Nuclei_Location_MaxIntensity_Y_DNA,Nuclei,Location,MaxIntensity,DNA,Y,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Nuclei_RadialDistribution_FracAtD_DNA_1of4,Nuclei,RadialDistribution,FracAtD,DNA,1of4,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Nuclei_RadialDistribution_FracAtD_DNA_2of4,Nuclei,RadialDistribution,FracAtD,DNA,2of4,,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_RadialDistribution_FracAtD_DNA_3of4,Nuclei,RadialDistribution,FracAtD,DNA,3of4,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Nuclei_RadialDistribution_FracAtD_DNA_4of4,Nuclei,RadialDistribution,FracAtD,DNA,4of4,,9,7,394,76,0.56,0.54,0.54,0.22,0.18,0.18825767,0.11,0.98
Nuclei_RadialDistribution_MeanFrac_DNA_1of4,Nuclei,RadialDistribution,MeanFrac,DNA,1of4,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Nuclei_RadialDistribution_MeanFrac_DNA_2of4,Nuclei,RadialDistribution,MeanFrac,DNA,2of4,,7,4,397,78,0.64,0.54,0.54,0.21,0.15,0.184860598,0.08,0.99
Nuclei_RadialDistribution_MeanFrac_DNA_3of4,Nuclei,RadialDistribution,MeanFrac,DNA,3of4,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Nuclei_RadialDistribution_MeanFrac_DNA_4of4,Nuclei,RadialDistribution,MeanFrac,DNA,4of4,,6,3,398,79,0.67,0.53,0.53,0.21,0.13,0.177819063,0.07,0.99
Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei,RadialDistribution,RadialCV,DNA,1of4,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Nuclei_RadialDistribution_RadialCV_DNA_2of4,Nuclei,RadialDistribution,RadialCV,DNA,2of4,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Nuclei_RadialDistribution_RadialCV_DNA_3of4,Nuclei,RadialDistribution,RadialCV,DNA,3of4,,6,2,399,79,0.75,0.53,0.53,0.22,0.13,0.195853442,0.07,1
Nuclei_RadialDistribution_RadialCV_DNA_4of4,Nuclei,RadialDistribution,RadialCV,DNA,4of4,,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Nuclei_Texture_AngularSecondMoment_DNA_10_0,Nuclei,Texture,AngularSecondMoment,DNA,10,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Nuclei_Texture_AngularSecondMoment_DNA_3_0,Nuclei,Texture,AngularSecondMoment,DNA,3,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Nuclei_Texture_AngularSecondMoment_DNA_5_0,Nuclei,Texture,AngularSecondMoment,DNA,5,0,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Nuclei_Texture_Contrast_DNA_10_0,Nuclei,Texture,Contrast,DNA,10,0,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_Texture_Contrast_DNA_3_0,Nuclei,Texture,Contrast,DNA,3,0,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Nuclei_Texture_Contrast_DNA_5_0,Nuclei,Texture,Contrast,DNA,5,0,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_Texture_Correlation_DNA_10_0,Nuclei,Texture,Correlation,DNA,10,0,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Nuclei_Texture_Correlation_DNA_3_0,Nuclei,Texture,Correlation,DNA,3,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Nuclei_Texture_Correlation_DNA_5_0,Nuclei,Texture,Correlation,DNA,5,0,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Nuclei_Texture_DifferenceEntropy_DNA_10_0,Nuclei,Texture,DifferenceEntropy,DNA,10,0,0,0,401,85,0,0.5,0.56,0.22,0,0,0,1
Nuclei_Texture_DifferenceEntropy_DNA_3_0,Nuclei,Texture,DifferenceEntropy,DNA,3,0,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Nuclei_Texture_DifferenceEntropy_DNA_5_0,Nuclei,Texture,DifferenceEntropy,DNA,5,0,0,0,401,85,0,0.5,0.55,0.22,0,0,0,1
Nuclei_Texture_DifferenceVariance_DNA_10_0,Nuclei,Texture,DifferenceVariance,DNA,10,0,0,0,401,85,0,0.5,0.56,0.23,0,0,0,1
Nuclei_Texture_DifferenceVariance_DNA_3_0,Nuclei,Texture,DifferenceVariance,DNA,3,0,8,6,395,77,0.57,0.54,0.54,0.21,0.16,0.179773337,0.09,0.99
Nuclei_Texture_DifferenceVariance_DNA_5_0,Nuclei,Texture,DifferenceVariance,DNA,5,0,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Nuclei_Texture_Entropy_DNA_10_0,Nuclei,Texture,Entropy,DNA,10,0,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Nuclei_Texture_Entropy_DNA_3_0,Nuclei,Texture,Entropy,DNA,3,0,9,5,396,76,0.64,0.55,0.55,0.22,0.18,0.212156525,0.11,0.99
Nuclei_Texture_Entropy_DNA_5_0,Nuclei,Texture,Entropy,DNA,5,0,0,0,401,85,0,0.5,0.54,0.21,0,0,0,1
Nuclei_Texture_Gabor_DNA_10,Nuclei,Texture,Gabor,DNA,10,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Nuclei_Texture_Gabor_DNA_3,Nuclei,Texture,Gabor,DNA,3,,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Nuclei_Texture_Gabor_DNA_5,Nuclei,Texture,Gabor,DNA,5,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Nuclei_Texture_InfoMeas1_DNA_10_0,Nuclei,Texture,InfoMeas1,DNA,10,0,11,7,394,74,0.61,0.56,0.56,0.23,0.21,0.22519956,0.13,0.98
Nuclei_Texture_InfoMeas1_DNA_3_0,Nuclei,Texture,InfoMeas1,DNA,3,0,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Nuclei_Texture_InfoMeas1_DNA_5_0,Nuclei,Texture,InfoMeas1,DNA,5,0,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Nuclei_Texture_InfoMeas2_DNA_10_0,Nuclei,Texture,InfoMeas2,DNA,10,0,5,2,399,80,0.71,0.53,0.53,0.21,0.11,0.171647563,0.06,1
Nuclei_Texture_InfoMeas2_DNA_3_0,Nuclei,Texture,InfoMeas2,DNA,3,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Nuclei_Texture_InfoMeas2_DNA_5_0,Nuclei,Texture,InfoMeas2,DNA,5,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Nuclei_Texture_InverseDifferenceMoment_DNA_10_0,Nuclei,Texture,InverseDifferenceMoment,DNA,10,0,7,6,395,78,0.54,0.53,0.53,0.2,0.14,0.158663525,0.08,0.99
Nuclei_Texture_InverseDifferenceMoment_DNA_3_0,Nuclei,Texture,InverseDifferenceMoment,DNA,3,0,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Nuclei_Texture_InverseDifferenceMoment_DNA_5_0,Nuclei,Texture,InverseDifferenceMoment,DNA,5,0,0,0,401,85,0,0.5,0.54,0.21,0,0,0,1
Nuclei_Texture_SumAverage_DNA_10_0,Nuclei,Texture,SumAverage,DNA,10,0,5,2,399,80,0.71,0.53,0.53,0.21,0.11,0.171647563,0.06,1
Nuclei_Texture_SumAverage_DNA_3_0,Nuclei,Texture,SumAverage,DNA,3,0,0,0,401,85,0,0.5,0.54,0.21,0,0,0,1
Nuclei_Texture_SumAverage_DNA_5_0,Nuclei,Texture,SumAverage,DNA,5,0,10,9,392,75,0.53,0.55,0.55,0.22,0.19,0.186594059,0.12,0.98
Nuclei_Texture_SumEntropy_DNA_10_0,Nuclei,Texture,SumEntropy,DNA,10,0,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
